,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
0,0.36363636363636365,0.0,0.4,0.8571428571428571,0.0,0.8666666666666667,0.5,1
1,0.8181818181818182,1.0,0.0,0.0,1.0,0.0,0.30000000000000004,0
2,0.8181818181818182,1.0,0.1,0.2857142857142857,1.0,0.3333333333333333,0.2,0
3,0.0,0.0,0.6000000000000001,1.0,0.0,0.9333333333333333,0.8,1
4,0.2727272727272727,0.0,0.9,0.5714285714285714,0.0,0.5333333333333333,0.5,1
5,0.09090909090909091,0.0,0.7000000000000001,0.7142857142857142,0.0,0.4,0.6000000000000001,1
6,0.18181818181818182,0.0,0.8,0.5714285714285714,0.0,0.4666666666666667,0.8,1
7,0.9090909090909092,1.0,0.1,0.42857142857142855,1.0,0.0,0.30000000000000004,0
8,0.0,0.0,0.8,0.8571428571428571,0.0,0.8666666666666667,0.8,1
9,0.2727272727272727,0.0,0.9,0.8571428571428571,0.0,1.0,0.5,1
10,0.9090909090909092,1.0,0.30000000000000004,0.14285714285714285,1.0,0.26666666666666666,0.0,0
11,0.2727272727272727,0.0,0.6000000000000001,1.0,0.0,0.9333333333333333,1.0,1
12,0.2727272727272727,0.0,0.6000000000000001,0.5714285714285714,0.0,0.6666666666666666,0.7000000000000001,1
13,0.5454545454545454,1.0,0.30000000000000004,0.0,1.0,0.06666666666666667,0.30000000000000004,0
14,0.0,0.0,0.4,0.5714285714285714,0.0,0.5333333333333333,0.8,1
15,0.8181818181818182,1.0,0.0,0.0,1.0,0.0,0.0,0
16,0.09090909090909091,0.0,0.5,0.8571428571428571,0.0,0.6666666666666666,0.4,1
17,0.4545454545454546,1.0,0.30000000000000004,0.0,1.0,0.26666666666666666,0.2,0
18,0.09090909090909091,0.0,0.7000000000000001,0.7142857142857142,0.0,0.8,0.5,1
19,0.9090909090909092,1.0,0.30000000000000004,0.14285714285714285,1.0,0.13333333333333333,0.1,0
20,0.18181818181818182,0.0,0.8,0.5714285714285714,0.0,0.8666666666666667,0.6000000000000001,1
21,0.09090909090909091,0.0,0.6000000000000001,1.0,0.0,0.9333333333333333,0.9,1
22,0.8181818181818182,1.0,0.2,0.2857142857142857,1.0,0.06666666666666667,0.0,0
23,0.18181818181818182,0.0,0.8,1.0,0.0,1.0,0.6000000000000001,1
24,0.18181818181818182,0.0,0.8,0.5714285714285714,0.0,0.7333333333333333,0.9,1
25,0.0,0.0,0.6000000000000001,0.5714285714285714,0.0,0.9333333333333333,0.9,1
26,0.36363636363636365,0.0,0.5,1.0,0.0,0.4,0.6000000000000001,1
27,0.18181818181818182,0.0,0.6000000000000001,0.5714285714285714,0.0,0.8,1.0,1
28,0.0,0.0,0.9,0.5714285714285714,0.0,0.9333333333333333,0.7000000000000001,1
